experiment_id,cortex_region,division,projection_strength_ipsi,projection_density_ipsi,projection_strength_contra,projection_density_contra,injection_volume
519186737,VISpm,CPp,4999.7236,0.009212964,166.32837,0.000678433,0.044143581
297711339,MOp,CPp,27.958265,9.75E-05,0.48548198,5.688201248560174e-06,0.07671512
176430283,AUDd,CPp,16697.809,0.022114804,230.14966,0.000907114,0.370740311
656842599,VISp,CPp,16.006603,0.000102849,0,0,0.041857755
277616630,VISp,CPp,163.18872,0.000128446,2.4408894,2.8594741411680873e-05,0.068120863
502180994,VISpm,CPp,1254.3875,0.006540278,49.876846,0.000376267,0.00848659
292124765,SSp-tr,CPp,5129.642,0.005868994,0.29752988,1.3451827277000412e-05,0.130519967
562520963,VISl,CPp,9382.024,0.008456895,3.6776693,2.5596905618520784e-05,0.071651206
257666283,SSp-m,CPp,1016.7641,0.001731519,0.40649933,6.5337446774002e-06,0.071651441
297712045,VISrl,CPp,36.51712,0.000135364,0,0,0.030625598
593016678,VISp,CPp,0,0,1456.0444,0.002284658,0.127057794
277712166,VISp,CPp,3.6438928,2.58E-05,0.000430928,2.3060275332000706e-07,0.038715358
656958144,VISpm,CPp,23.884872,8.24E-05,0,0,0.008243739
292125472,ACAd,CPp,26.965183,9.75E-05,0.21976617,5.918804001880181e-06,0.112294907
503017948,VISp,CPp,0,0,313.56937,0.001648733,0.033106664
519486602,VISp,CPp,20.548725,0.000213538,0,0,0.01365466
176433237,MOs,CPp,25.261911,0.000119145,0.48207778,1.4604841043600447e-05,0.10717672
562521707,RSPd,CPp,7180.4634,0.010974462,0,0,0.126318678
257667118,VISp,CPp,2164.0276,0.004034472,0.100305475,2.1522923643200658e-06,0.027626068
297713365,SSp-n,CPp,205.68234,0.0006606,0,0,0.034241741
277713580,VISp,CPp,18.868895,7.93E-05,0,0,0.052402585
656959718,VISa,CPp,1466.7761,0.00722955,74.089096,0.000634542,0.130412197
292172846,MOs,CPp,106.27236,0.000314312,0.15355092,3.8433792220001173e-07,0.073765443
519487627,VISal,CPp,436.7324,0.004058301,4.1782517,8.140277192196248e-05,0.001155454
593277684,VISpl,CPp,38992.492,0.025897304,1025.914,0.002894449,0.318671147
176496282,SSp-un,CPp,66.817795,0.000263195,14.626156,9.170302823692281e-05,0.2148493
257667830,VISpm,CPp,61.891895,0.000269728,0.002445619,2.3060275332000706e-07,0.048918709
562674923,RSPagl,CPp,30241.287,0.025595676,379.63416,0.001512908,0.137026452
297714071,SSp-ll,CPp,76.20901,0.000204698,0,0,0.077443172
277714322,VISp,CPp,11.94523,7.33E-05,0.35655293,5.918804001880181e-06,0.054924325
292173552,SSp-ul,CPp,36.605026,7.11E-05,0,0,0.036897118
657046319,VISp,CPp,0,0,214.54073,0.00045398,0.020778666
519488493,VISp,CPp,426.188,0.008943159,63.754433,0.002542626,0.002337051
595858299,VISli,CPp,38095.785,0.032929535,1230.3016,0.008259883,0.040060496
258316155,ACAd,CPp,5111.387,0.007530871,771.9715,0.002566147,0.103667144
566244185,VISam,CPp,362.71585,0.000830708,0,0,0.107546876
297854981,MOs,CPp,14.892042,8.31E-05,4.8226604,3.443667782912105e-05,0.01059176
277800995,MOs,CPp,17.817917,8.77E-05,0.000613872,6.149406755200188e-07,0.295936186
292174264,VISli,CPp,302.29904,0.000898275,0,0,0.007206663
657162589,VISl,CPp,10464.568,0.013505788,25.777937,7.878927405100241e-05,0.045411191
520012330,VISa,CPp,0,0,1.0711222,2.2522202240920688e-05,0.005943544
595884140,RSPagl,CPp,737.4998,0.00270474,0.033015456,2.5366302865200778e-06,0.004125209
566454054,VISrl,CPp,1792.3674,0.002659695,0,0,0.099840548
297855879,SSs,CPp,1558.2872,0.003846454,0,0,0.554496779
277801701,SSp-bfd,CPp,2216.5916,0.004201505,0.38174656,1.30674893548004e-05,0.340256431
292174974,MOs,CPp,147.42708,0.000259044,0,0,0.095908288
661987195,VISpor,CPp,93185.21,0.036744704,2833.3352,0.009003808,0.399825026
520018181,RSPd,CPp,46.340298,0.000460052,0,0,0.007265272
596252304,VISp,CPp,0.007145374,5.38E-07,277.96478,0.000815411,0.037201229
566730846,AUDpo,CPp,14586.417,0.021657903,2.7250543,1.660339823904051e-05,0.165472608
297858011,AIp,CPp,32.85521,0.000145433,0,0,0.024479895
277849965,VISl,CPp,817.17255,0.001424741,0,0,0.029914848
292208876,TEa,CPp,12360.074,0.021086239,112.462585,0.000465971,0.06518125
666909423,VISp,CPp,2.3590631,1.71E-05,2766.6167,0.005242292,0.06141024
520019334,VISp,CPp,335.94156,0.00125986,0,0,0.019250635
596253012,VISp,CPp,0,0,1126.0068,0.001836982,0.065161915
566732238,VISp,CPp,0.16906478,1.48E-05,63.018158,0.00040417,0.071878492
297892130,MOs,CPp,739.4515,0.002289501,296.80054,0.000992284,0.048803833
277851379,VISrl,CPp,446.19424,0.001243871,2.7193916,2.29065401631207e-05,0.034151388
292209592,AId,CPp,0.010274299,4.61E-07,0,0,0.025760692
667294910,VISrl,CPp,1403.0648,0.002927194,3.0762663,4.143162801316127e-05,0.037990327
520341802,VISl,CPp,1122.1394,0.003483255,0,0,0.014853805
