experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
192311_044,363,PL,L5,ET,43.1394716,20
192311_046,620,ORBm,L5,ET,70.64872278,77
192311_050,620,ORBm,L5,IT,51.54544454,14
192311_051,363,PL,L5,ET,41.47495289,33
192311_054,363,PL,L5,IT,87.44030152,49
192311_055,363,PL,L5,IT,84.03913864,128
192311_056,620,ORBm,L5,ET,66.10450392,12
192311_057,363,PL,L5,IT,121.4282675,53
192311_058,363,PL,L5,ET,42.21669261,17
192311_059,363,PL,L5,IT,81.52472018,5
192311_060,620,ORBm,L5,IT,112.5089115,103
192311_062,363,PL,L5,IT,84.55817206,38
192311_064,363,PL,L5,IT,55.82392148,68
192311_067,620,ORBm,L5,IT,53.54851373,16
192311_068,620,ORBm,L5,IT,60.65660988,69
192311_073,620,ORBm,L5,IT,157.0756739,74
192311_074,620,ORBm,L5,IT,20.69377345,4
192311_077,620,ORBm,L5,IT,64.65882639,30
192311_078,620,ORBm,L5,ET,65.10845702,14
192311_097,620,ORBm,L5,ET,26.12499087,10
192311_101,827,ILA,L5,IT,99.79477297,39
192311_103,620,ORBm,L5,IT,85.66415299,11
192311_104,620,ORBm,L5,CT,,0
192311_104,620,ORBm,L5,CT,,0
192311_106,620,ORBm,L5,IT,,0
192311_109,827,ILA,L5,IT,122.9488184,18
192311_110,620,ORBm,L5,IT,,0
192311_111,620,ORBm,L5,IT,,0
192311_113,620,ORBm,L5,IT,,0
192311_114,620,ORBm,L5,IT,65.18097523,37
192311_116,620,ORBm,L5,IT,59.05972226,79
192311_120,620,ORBm,L5,IT,,1
192311_121,620,ORBm,L5,IT,,0
192981_001,767,MOs,L5,ET,93.11294965,120
192981_002,767,MOs,L5,IT,92.69349508,100
192981_003,767,MOs,L5,ET,57.79643843,32
192981_004,772,ACAv,L5,ET,49.70434949,105
192981_004,772,ACAv,L5,ET,49.70434949,105
192981_005,772,ACAv,L5,ET,92.98041405,56
192981_005,772,ACAv,L5,ET,92.98041405,56
192981_006,772,ACAv,L5,ET,38.60224313,29
192981_006,772,ACAv,L5,ET,38.60224313,29
192981_007,772,ACAv,L5,IT,116.1527709,147
192981_008,772,ACAv,L5,ET,36.89924469,14
192981_008,772,ACAv,L5,ET,36.89924469,14
192981_009,772,ACAv,L5,IT,47.95533829,24
192981_012,772,ACAv,L5,IT,24.04392768,32
192981_013,772,ACAv,L5,IT,49.13362541,48
192981_014,772,ACAv,L5,IT,48.34622939,68
192981_015,772,ACAv,L5,IT,80.67286478,21
192981_016,772,ACAv,L5,ET,46.0041446,41
192981_016,772,ACAv,L5,ET,46.0041446,41
192981_017,772,ACAv,L5,IT,89.67823994,39
192981_018,772,ACAv,L5,IT,54.42681468,54
192981_019,772,ACAv,L5,ET,44.85900453,61
192981_019,772,ACAv,L5,ET,44.85900453,61
192981_020,772,ACAv,L5,IT,62.57735179,87
192981_022,772,ACAv,L5,IT,63.80921473,162
